,categories
6794,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
6797,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6801,"[{'alias': 'mexican', 'title': 'Mexican'}]"
6805,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
6811,"[{'alias': 'mexican', 'title': 'Mexican'}]"
6821,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'pubs', 'title': 'Pubs'}]"
6823,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
6824,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]"
6825,"[{'alias': 'thai', 'title': 'Thai'}]"
6829,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
6832,"[{'alias': 'parks', 'title': 'Parks'}]"
6833,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
6834,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'salad', 'title': 'Salad'}]"
6835,"[{'alias': 'pizza', 'title': 'Pizza'}]"
6837,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6838,"[{'alias': 'dog_parks', 'title': 'Dog Parks'}]"
6840,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6841,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6845,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]"
6847,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'buffets', 'title': 'Buffets'}]"
6850,"[{'alias': 'importedfood', 'title': 'Imported Food'}, {'alias': 'thai', 'title': 'Thai'}]"
6851,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
6855,"[{'alias': 'pubs', 'title': 'Pubs'}]"
6856,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
6857,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
6859,"[{'alias': 'bars', 'title': 'Bars'}]"
6861,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6865,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6869,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6870,"[{'alias': 'korean', 'title': 'Korean'}]"
6872,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
6873,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
6879,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
6880,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
6881,"[{'alias': 'healthmarkets', 'title': 'Health Markets'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
6885,"[{'alias': 'pubs', 'title': 'Pubs'}]"
6888,"[{'alias': 'food_court', 'title': 'Food Court'}]"
6892,"[{'alias': 'mexican', 'title': 'Mexican'}]"
6894,"[{'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'delis', 'title': 'Delis'}]"
6895,"[{'alias': 'thai', 'title': 'Thai'}]"
6896,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6899,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
6902,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}]"
6906,"[{'alias': 'thai', 'title': 'Thai'}]"
6907,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6913,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
6922,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
6924,"[{'alias': 'parks', 'title': 'Parks'}]"
6927,"[{'alias': 'chinese', 'title': 'Chinese'}]"
6931,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
6941,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
6949,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6966,"[{'alias': 'italian', 'title': 'Italian'}]"
6968,"[{'alias': 'buffets', 'title': 'Buffets'}]"
6974,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
6986,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'seafood', 'title': 'Seafood'}]"
6992,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6999,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'mexican', 'title': 'Mexican'}]"
7005,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
7007,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]"
7028,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
7041,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'lounges', 'title': 'Lounges'}]"
7055,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'diners', 'title': 'Diners'}]"
7078,"[{'alias': 'french', 'title': 'French'}]"
7081,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
7083,"[{'alias': 'tapas', 'title': 'Tapas Bars'}]"
7088,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
7094,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7101,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'korean', 'title': 'Korean'}]"
7115,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
7120,"[{'alias': 'chinese', 'title': 'Chinese'}]"
7123,"[{'alias': 'food_court', 'title': 'Food Court'}]"
7126,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
7132,"[{'alias': 'thai', 'title': 'Thai'}]"
7146,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7150,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'food_court', 'title': 'Food Court'}]"
7156,"[{'alias': 'pizza', 'title': 'Pizza'}]"
7158,"[{'alias': 'parks', 'title': 'Parks'}]"
7167,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
7173,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
7178,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
7180,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]"
7191,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
7202,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7205,"[{'alias': 'indpak', 'title': 'Indian'}]"
7210,"[{'alias': 'african', 'title': 'African'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]"
7213,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7220,"[{'alias': 'divebars', 'title': 'Dive Bars'}]"
7224,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7226,"[{'alias': 'pizza', 'title': 'Pizza'}]"
7228,"[{'alias': 'lounges', 'title': 'Lounges'}]"
7235,"[{'alias': 'korean', 'title': 'Korean'}]"
7236,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}]"
7240,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
7243,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7246,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'mexican', 'title': 'Mexican'}]"
7247,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
7257,"[{'alias': 'korean', 'title': 'Korean'}]"
7258,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7259,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
7265,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
7267,"[{'alias': 'cheese', 'title': 'Cheese Shops'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'grocery', 'title': 'Grocery'}]"
7268,"[{'alias': 'korean', 'title': 'Korean'}]"
7270,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
7271,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
7278,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
7279,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'restaurants', 'title': 'Restaurants'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
7287,"[{'alias': 'portuguese', 'title': 'Portuguese'}]"
7298,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
7312,"[{'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7327,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
7333,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]"
7375,"[{'alias': 'chinese', 'title': 'Chinese'}]"
7383,"[{'alias': 'thai', 'title': 'Thai'}]"
7387,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}]"
7393,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
7399,"[{'alias': 'german', 'title': 'German'}, {'alias': 'delis', 'title': 'Delis'}]"
7414,"[{'alias': 'mexican', 'title': 'Mexican'}]"
7421,"[{'alias': 'thai', 'title': 'Thai'}]"
7431,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
7433,"[{'alias': 'lebanese', 'title': 'Lebanese'}]"
7448,"[{'alias': 'pubs', 'title': 'Pubs'}]"
7453,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
7455,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
7456,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
7480,"[{'alias': 'indpak', 'title': 'Indian'}]"
7500,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
7563,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7589,"[{'alias': 'burgers', 'title': 'Burgers'}]"
